subj_idx,rwd_prob,rwd_pen,response,rt,slxn_err,peak_V
2,0.3,2,0,0.192276138166574,35.8521683658272,0.621138964859095
2,0.3,2,0,0.22960816059637,73.1407504220007,8.90571899089132
2,0.3,2,0,0.228829508616559,12.402335498781,2.70317468908944
2,0.3,2,0,0.228420331153381,33.4126431409145,2.91709280049671
2,0.3,2,1,0.12945369964518,21.6850159964607,11.5197810745983
2,0.3,2,0,0.16056942259112,15.832591585646,9.49183344754073
2,0.3,2,0,0.193923409868774,59.2109515935159,8.33790858563356
2,0.3,2,0,0.256194609061394,5.65310030987981,4.20190787824767
2,0.3,2,0,0.22814435227108,52.284565398655,2.27782218378586
2,0.3,2,0,0.194249491956759,29.3708210652648,2.73787864177736
2,0.3,2,1,0.163191515300573,40.7818354243077,20.9610435208292
2,0.3,2,0,0.162659143662361,33.930302438811,11.0929519702578
