,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_subj(1.0).475,-4.87939633168,0.515213721445,-5.87165328757,-5.24548747154,-4.88049358977,-4.51511905094,-3.95789784632,0.0140370200091
v_subj(1.0).476,-2.79385154582,0.349922020702,-3.48472644786,-3.02198325007,-2.79717909841,-2.56205131562,-2.12432819711,0.00907773497825
v_subj(1.0).478,-2.89296930744,0.372225015432,-3.6009204715,-3.15230719299,-2.89411793181,-2.63114984782,-2.16454100647,0.00933112963257
v_subj(1.0).479,-3.85875988769,0.411278536579,-4.67947251602,-4.11729318775,-3.85617405517,-3.58232661943,-3.06453081296,0.0125134801597
v_subj(1.0).480,-3.50902056991,0.493124316378,-4.47433072189,-3.83698560038,-3.49383136655,-3.15839622868,-2.55664622142,0.0153442088482
v_subj(1.0).481,-2.61474199813,0.400884606078,-3.42061534075,-2.88121736781,-2.61633476706,-2.34545697626,-1.81958563028,0.0112869208706
v_subj(1.0).482,-1.87600087926,0.364858721108,-2.57912297781,-2.11599356594,-1.87940517143,-1.63516401398,-1.16405845578,0.00927383273213
v_subj(1.0).483,-4.52261067904,0.398686325103,-5.31403271858,-4.77679653762,-4.51909618583,-4.26176563724,-3.71993199164,0.0132643779977
v_subj(1.0).484,-3.46901851858,0.397702680658,-4.24631634867,-3.74188585994,-3.46492539419,-3.19687654929,-2.70116013149,0.0094834143356
v_subj(1.0).485,-3.01208922339,0.420372161501,-3.83511196602,-3.30545390394,-3.00699249775,-2.71919619252,-2.20270247954,0.0090973063396
v_subj(1.0).486,-1.78400637321,0.332506708629,-2.43393281113,-2.00381510723,-1.78895282505,-1.55188522705,-1.12698914539,0.00782966628554
v_subj(1.0).487,0.236845674885,0.434008288924,-0.582680457081,-0.0494846810602,0.229906050223,0.514426381915,1.08899814359,0.0113982102313
v_subj(1.0).488,-2.19601655719,0.366063911845,-2.89294427542,-2.4512980586,-2.19872788363,-1.94832514368,-1.4816542343,0.00890894113073
v_subj(1.0).489,-1.42541501721,0.408948974909,-2.2326836638,-1.69639415902,-1.42034751513,-1.15338575531,-0.605466975334,0.00979756862494
v_subj(1.0).492,-4.92578231177,0.646638650629,-6.18520331645,-5.35444457389,-4.92274160782,-4.48779010181,-3.67190684771,0.015325766122
v_subj(1.0).493,-2.63394651565,0.370472426524,-3.3662868311,-2.88357883446,-2.63339180564,-2.3893517552,-1.89467646807,0.00995743469721
v_subj(1.0).494,-5.04435590776,0.471030480647,-5.93974242174,-5.35005307624,-5.05106489596,-4.7298829937,-4.10636970034,0.0128807000868
v_subj(1.1).374,-3.66769482143,0.393480646714,-4.38998498906,-3.94376185615,-3.68417954774,-3.4082650728,-2.85016907414,0.00979530775433
v_subj(1.1).474,-4.19019026305,0.534674285381,-5.28180688794,-4.53860628137,-4.18345649254,-3.82919946476,-3.17597037307,0.0131412862469
v_subj(1.1).475,-4.21029545265,0.44957930504,-5.14229051493,-4.4996720905,-4.21347873769,-3.91291112108,-3.33794761816,0.0112561752016
v_subj(1.1).476,-2.462260506,0.318913561104,-3.11043377342,-2.6651275239,-2.45656357722,-2.24893163174,-1.84774191126,0.00840756727755
v_subj(1.1).478,-3.33092981652,0.422750592527,-4.19381636988,-3.60532458741,-3.33950336215,-3.05188029415,-2.50538572309,0.010531425816
v_subj(1.1).479,-3.24183437096,0.360727502298,-3.95921357699,-3.48196300371,-3.24569084434,-2.99872004515,-2.53339989242,0.00963194096271
v_subj(1.1).480,-3.37942068334,0.449684906499,-4.28289782397,-3.68765530511,-3.36928416966,-3.08167448087,-2.48101236462,0.0121314886103
v_subj(1.1).481,-1.90588767363,0.352182483079,-2.63049197172,-2.14790761033,-1.8784008548,-1.65464339209,-1.27243178566,0.0081300958403
v_subj(1.1).482,-1.93320131374,0.362945196868,-2.63400190281,-2.17956345176,-1.92529833075,-1.68788941574,-1.2298832134,0.00931276210024
v_subj(1.1).483,-4.43022951228,0.406614217695,-5.19892830582,-4.71245316896,-4.43756831398,-4.15646492709,-3.6238462367,0.0113986647765
v_subj(1.1).484,-3.62545558931,0.394989503737,-4.41574177397,-3.87720196209,-3.61899263971,-3.36303954129,-2.86364904996,0.0110207265512
v_subj(1.1).485,-3.61133697817,0.456968253312,-4.50434088403,-3.92557201086,-3.6118393358,-3.30482592145,-2.72378725751,0.0117171040868
v_subj(1.1).486,-2.04111616977,0.33841588289,-2.72346228447,-2.27185165158,-2.03639644616,-1.80662671917,-1.40071473305,0.00955500136087
v_subj(1.1).487,-0.513759070878,0.422267790883,-1.3094489093,-0.802355033295,-0.508942713,-0.238848631465,0.312748149561,0.0106985921411
v_subj(1.1).488,-1.94410128621,0.346824408296,-2.62835609075,-2.16551135891,-1.94357301312,-1.69794817653,-1.26230433554,0.0092331963749
v_subj(1.1).489,-1.45931682675,0.420219641686,-2.30027887363,-1.74524428906,-1.44723570822,-1.17227493965,-0.619570421687,0.0106428560834
v_subj(1.1).492,-3.90090876392,0.554163176847,-4.97545650394,-4.26496660356,-3.91336023186,-3.52225255547,-2.80153286461,0.0128482691635
v_subj(1.1).493,-1.84995070243,0.385450321158,-2.58994308143,-2.12018476095,-1.84075627685,-1.58277550088,-1.11509026191,0.0097662318527
v_subj(1.1).494,-4.49757765111,0.470801235442,-5.42058005743,-4.82720273703,-4.48222362988,-4.18501045442,-3.57573542087,0.0146330677782
v_subj(1.2).374,-3.0039038028,0.413897469659,-3.84193551648,-3.28275687397,-2.99607315461,-2.732298368,-2.17972704441,0.00952263355708
v_subj(1.2).474,-3.18818097632,0.404449603157,-3.99298786114,-3.46329538871,-3.17736879157,-2.90928903451,-2.42098233672,0.0105658146806
v_subj(1.2).475,-4.11524292575,0.417254692705,-4.92655744641,-4.3881403209,-4.13396694476,-3.83262887588,-3.28246433447,0.00958796861619
v_subj(1.2).476,-1.27204399851,0.310037046827,-1.87287533032,-1.48744054066,-1.26259579483,-1.06485272124,-0.672430186577,0.00712082506153
v_subj(1.2).478,-3.29924196975,0.398295201219,-4.07354918691,-3.56396425214,-3.30576223792,-3.04172389683,-2.50635144155,0.00992527154535
v_subj(1.2).479,-3.26468811702,0.386962293719,-4.02301922555,-3.54453892733,-3.25949308954,-2.99324575003,-2.53473116941,0.0102116146394
v_subj(1.2).480,-2.69142127198,0.403202733725,-3.48252467954,-2.95342959373,-2.68128006399,-2.42867810527,-1.90240861013,0.0108532412181
v_subj(1.2).481,-2.39005971766,0.427915497971,-3.24742261414,-2.67539036553,-2.36777721061,-2.0984314702,-1.58834081037,0.0104236211092
v_subj(1.2).482,-1.34075218538,0.33363008894,-2.00357196123,-1.56421789594,-1.34272464586,-1.11761110349,-0.67344419758,0.0091286717693
v_subj(1.2).483,-3.60144230967,0.375231623853,-4.31765730548,-3.86773585544,-3.59613069472,-3.34426771854,-2.8649479606,0.0122808439149
